time,amplitude,frequency,power
4.60025,0.6115974,0.0,0.3740514
4.6003125,0.77825314,0.0,0.60567796
4.600375,0.8137958,0.0,0.66226363
4.6004375,0.76854473,0.0,0.590661
4.6005,0.75445926,0.0,0.5692088
4.6005625,0.64684397,0.0,0.4184071
4.600625,0.53205425,0.0,0.2830817
4.6006875,0.37681827,0.0,0.141992
4.60075,0.35216877,0.0,0.12402284
4.6008125,0.28453892,0.0,0.0809624
4.600875,0.062561706,0.0,0.003913967
4.6009375,0.034719937,0.0,0.001205474
4.601,0.028796157,0.0,0.00082921865
4.6010625,0.068419665,0.0,0.0046812505
4.601125,0.018034622,0.0,0.0003252476
4.6011875,-0.097446196,0.0,0.009495761
4.60125,-0.06973606,0.0,0.0048631188
4.6013125,-0.021555979,0.0,0.00046466023
4.601375,-0.08056342,0.0,0.0064904643
4.6014375,-0.14049233,0.0,0.019738097
4.6015,-0.29760417,0.0,0.08856824
4.6015625,-0.4298032,0.0,0.18473078
4.601625,-0.52613044,0.0,0.27681324
4.6016875,-0.6125518,0.0,0.37521973
4.60175,-0.69449747,0.0,0.48232672
4.6018125,-0.7944448,0.0,0.63114256
4.601875,-0.78621733,0.0,0.6181377
4.6019375,-0.8385441,0.0,0.7031562
4.602,-0.8032647,0.0,0.64523417
4.6020625,-0.58925164,0.0,0.3472175
4.602125,-0.46547753,0.0,0.21666932
4.6021875,-0.26117292,0.0,0.068211295
4.60225,-0.03699072,0.0,0.0013683134
4.6023125,0.04982558,0.0,0.0024825884
4.602375,0.33087605,0.0,0.109478965
4.6024375,0.50756925,0.0,0.25762653
4.6025,0.68880403,0.0,0.474451
4.6025625,0.7109524,0.0,0.5054533
4.602625,0.8076417,0.0,0.6522851
4.6026875,0.7154611,0.0,0.51188457
4.60275,0.7767722,0.0,0.6033751
4.6028125,0.6596459,0.0,0.43513274
4.602875,0.5536102,0.0,0.30648425
4.6029375,0.50319225,0.0,0.25320244
4.603,0.44490883,0.0,0.19794387
4.6030625,0.35381424,0.0,0.12518452
4.603125,0.29770288,0.0,0.088627
4.6031875,0.18110314,0.0,0.032798346
4.60325,0.11778451,0.0,0.013873191
4.6033125,0.015599289,0.0,0.00024333781
4.603375,0.06733364,0.0,0.004533819
4.6034375,-0.04870664,0.0,0.0023723368
4.6035,0.00309353,0.0,9.569928e-06
4.6035625,-0.05495952,0.0,0.003020549
4.603625,-0.062265515,0.0,0.0038769944
4.6036875,-0.16576713,0.0,0.027478743
4.60375,-0.26041597,0.0,0.06781648
4.6038125,-0.30148754,0.0,0.09089474
4.603875,-0.5143158,0.0,0.26452073
4.6039375,-0.56012636,0.0,0.31374153
4.604,-0.7176331,0.0,0.5149973
4.6040625,-0.7082867,0.0,0.50167006
4.604125,-0.8214309,0.0,0.6747488
4.6041875,-0.70015794,0.0,0.49022114
